Variant_ID,KT_Verdict,ESM2_Prob,ESM2_Verdict,Final_Verdict,KT_Peptide_Count
Mpox_B5R_Var_17_AGR35863.1.fasta,True,0.9572,True,ANTIGENIC,19
Mpox_B5R_Var_18_AGR35672.1.fasta,True,0.9572,True,ANTIGENIC,19
Mpox_B5R_Var_19_AGR35481.1.fasta,True,0.9586,True,ANTIGENIC,19
Mpox_B5R_Var_20_AGR35290.1.fasta,True,0.9586,True,ANTIGENIC,19
Mpox_B5R_Var_21_AGR35099.1.fasta,True,0.9572,True,ANTIGENIC,19
Mpox_B5R_Var_22_AGR34908.1.fasta,True,0.9586,True,ANTIGENIC,19
Mpox_B5R_Var_23_AGR34717.1.fasta,True,0.9572,True,ANTIGENIC,19
Mpox_B5R_Var_24_AGR34527.1.fasta,True,0.9572,True,ANTIGENIC,19
Mpox_B5R_Var_25_AAL40624.1.fasta,True,0.9572,True,ANTIGENIC,19
Mpox_L1R_Var_01_XYR87238.1.fasta,True,0.9774,True,ANTIGENIC,10
Mpox_L1R_Var_02_XYR87197.1.fasta,True,0.9768,True,ANTIGENIC,3
Mpox_L1R_Var_03_XYR87060.1.fasta,True,0.9774,True,ANTIGENIC,10
Mpox_L1R_Var_04_XYR87019.1.fasta,True,0.9768,True,ANTIGENIC,3
Mpox_L1R_Var_06_XYR86842.1.fasta,True,0.9768,True,ANTIGENIC,3
Mpox_L1R_Var_07_XYR86706.1.fasta,True,0.9774,True,ANTIGENIC,10
Mpox_L1R_Var_08_XYR86665.1.fasta,True,0.9768,True,ANTIGENIC,3
Mpox_L1R_Var_09_XYH50751.1.fasta,True,0.9774,True,ANTIGENIC,10
Mpox_L1R_Var_10_XYH50710.1.fasta,True,0.9769,True,ANTIGENIC,3
Mpox_L1R_Var_11_XYH50576.1.fasta,True,0.9774,True,ANTIGENIC,10
Mpox_L1R_Var_12_XYH50535.1.fasta,True,0.9769,True,ANTIGENIC,3
Mpox_L1R_Var_13_XYH80326.1.fasta,True,0.9774,True,ANTIGENIC,10
Mpox_L1R_Var_14_XYH80285.1.fasta,True,0.9769,True,ANTIGENIC,3
Mpox_L1R_Var_15_XVJ44734.1.fasta,True,0.9774,True,ANTIGENIC,10
Mpox_L1R_Var_16_XVJ44693.1.fasta,True,0.977,True,ANTIGENIC,3
Mpox_L1R_Var_17_XVJ44556.1.fasta,True,0.9774,True,ANTIGENIC,10
Mpox_L1R_Var_18_XVJ44515.1.fasta,True,0.977,True,ANTIGENIC,3
Mpox_L1R_Var_19_XVJ44378.1.fasta,True,0.9774,True,ANTIGENIC,10
Mpox_L1R_Var_20_XVJ44337.1.fasta,True,0.977,True,ANTIGENIC,3
Mpox_L1R_Var_21_XVJ44200.1.fasta,True,0.9774,True,ANTIGENIC,10
Mpox_L1R_Var_22_XVJ44159.1.fasta,True,0.977,True,ANTIGENIC,3
Mpox_L1R_Var_23_XVJ44022.1.fasta,True,0.9774,True,ANTIGENIC,10
Mpox_L1R_Var_24_XVJ43981.1.fasta,True,0.977,True,ANTIGENIC,3
Mpox_L1R_Var_25_XVJ43844.1.fasta,True,0.9774,True,ANTIGENIC,10
Mpox_L1R_Var_26_XVJ43803.1.fasta,True,0.977,True,ANTIGENIC,3
Mpox_L1R_Var_27_XVJ43666.1.fasta,True,0.9774,True,ANTIGENIC,10
Mpox_L1R_Var_28_XVJ43625.1.fasta,True,0.977,True,ANTIGENIC,3
Mpox_L1R_Var_29_XVJ43488.1.fasta,True,0.9774,True,ANTIGENIC,10
Mpox_L1R_Var_30_XVJ43447.1.fasta,True,0.977,True,ANTIGENIC,3
