Variant_ID,Target,MW_kDa,GRAVY,Instability_Index,Status
HIV_gp120_Var_29_pdb|8TTW|B,HIV_gp120,17.13,-0.11,35.1,STABLE
HIV_gp120_Var_30_pdb|8TTW|A,HIV_gp120,54.0,-0.45,43.56,UNSTABLE_FLAGGED
HIV_gp41_Var_01_YES72107.1,HIV_gp41,97.52,-0.26,38.62,STABLE
HIV_gp41_Var_02_XUS50365.1,HIV_gp41,,,,EXCLUDED_NONSTANDARD
HIV_gp41_Var_03_XUS50356.1,HIV_gp41,,,,EXCLUDED_NONSTANDARD
HIV_gp41_Var_04_XUS50347.1,HIV_gp41,,,,EXCLUDED_NONSTANDARD
HIV_gp41_Var_05_YAA49993.1,HIV_gp41,96.58,-0.21,38.75,STABLE
HIV_gp41_Var_06_YAA49984.1,HIV_gp41,96.34,-0.22,36.93,STABLE
HIV_gp41_Var_07_YAA49975.1,HIV_gp41,97.13,-0.2,38.69,STABLE
HIV_gp41_Var_08_YAA49963.1,HIV_gp41,97.12,-0.18,37.32,STABLE
HIV_gp41_Var_09_XZS46061.1,HIV_gp41,,,,EXCLUDED_NONSTANDARD
HIV_gp41_Var_10_YDB18357.1,HIV_gp41,97.21,-0.26,34.96,STABLE
HIV_gp41_Var_11_YCS46616.1,HIV_gp41,96.62,-0.22,43.08,UNSTABLE_FLAGGED
HIV_gp41_Var_12_YCS46599.1,HIV_gp41,96.57,-0.23,42.05,UNSTABLE_FLAGGED
HIV_gp41_Var_13_WVT29340.1,HIV_gp41,,,,EXCLUDED_NONSTANDARD
HIV_gp41_Var_14_YAG30066.1,HIV_gp41,97.56,-0.2,41.16,UNSTABLE_FLAGGED
HIV_gp41_Var_15_XFC51710.1,HIV_gp41,98.25,-0.28,41.33,UNSTABLE_FLAGGED
HIV_gp41_Var_16_XFC51701.1,HIV_gp41,97.75,-0.24,41.12,UNSTABLE_FLAGGED
HIV_gp41_Var_17_XFC51692.1,HIV_gp41,96.96,-0.19,41.64,UNSTABLE_FLAGGED
HIV_gp41_Var_18_pdb|8TTW|J,HIV_gp41,17.13,-0.11,35.1,STABLE
HIV_gp41_Var_19_pdb|8TTW|F,HIV_gp41,17.13,-0.11,35.1,STABLE
HIV_gp41_Var_20_pdb|8TTW|B,HIV_gp41,17.13,-0.11,35.1,STABLE
HIV_gp41_Var_21_XPO05105.1,HIV_gp41,98.24,-0.2,41.16,UNSTABLE_FLAGGED
HIV_gp41_Var_22_XPO05096.1,HIV_gp41,98.88,-0.23,40.96,UNSTABLE_FLAGGED
HIV_gp41_Var_23_XPO04995.1,HIV_gp41,98.1,-0.25,37.25,STABLE
HIV_gp41_Var_24_XPO04987.1,HIV_gp41,98.31,-0.23,38.21,STABLE
HIV_gp41_Var_25_XPO04978.1,HIV_gp41,98.31,-0.23,38.21,STABLE
HIV_gp41_Var_26_XPO04971.1,HIV_gp41,98.42,-0.23,37.46,STABLE
HIV_gp41_Var_27_XPO04794.1,HIV_gp41,98.95,-0.3,37.57,STABLE
HIV_gp41_Var_28_XPO04776.1,HIV_gp41,98.86,-0.29,39.18,STABLE
HIV_gp41_Var_29_XPO04760.1,HIV_gp41,97.83,-0.29,40.77,UNSTABLE_FLAGGED
HIV_gp41_Var_30_XPO03852.1,HIV_gp41,99.52,-0.26,34.58,STABLE
HIV_p17_Var_01_YES72110.1,HIV_p17,161.97,-0.49,38.05,STABLE
HIV_p17_Var_02_YES72109.1,HIV_p17,55.89,-0.62,44.66,UNSTABLE_FLAGGED
HIV_p17_Var_03_YES72089.1,HIV_p17,,,,EXCLUDED_NONSTANDARD
HIV_p17_Var_04_YES72088.1,HIV_p17,,,,EXCLUDED_NONSTANDARD
HIV_p17_Var_05_XUS50358.1,HIV_p17,,,,EXCLUDED_NONSTANDARD
HIV_p17_Var_06_XUS50349.1,HIV_p17,,,,EXCLUDED_NONSTANDARD
HIV_p17_Var_07_XUS50340.1,HIV_p17,,,,EXCLUDED_NONSTANDARD
HIV_p17_Var_08_YAA49986.1,HIV_p17,55.33,-0.62,44.72,UNSTABLE_FLAGGED
HIV_p17_Var_09_YAA49977.1,HIV_p17,54.98,-0.61,43.02,UNSTABLE_FLAGGED
HIV_p17_Var_10_YAA49968.1,HIV_p17,55.27,-0.61,42.73,UNSTABLE_FLAGGED
HIV_p17_Var_11_YAA49964.1,HIV_p17,55.16,-0.62,42.92,UNSTABLE_FLAGGED
HIV_p17_Var_12_XZS46794.1,HIV_p17,,,,EXCLUDED_NONSTANDARD
HIV_p17_Var_13_XZS46054.1,HIV_p17,55.46,-0.62,42.59,UNSTABLE_FLAGGED
HIV_p17_Var_14_XZS45499.1,HIV_p17,,,,EXCLUDED_NONSTANDARD
HIV_p17_Var_15_YDB18351.1,HIV_p17,55.81,-0.66,47.31,UNSTABLE_FLAGGED
HIV_p17_Var_16_YCS46609.1,HIV_p17,56.21,-0.65,41.71,UNSTABLE_FLAGGED
HIV_p17_Var_17_YCS46601.1,HIV_p17,55.41,-0.63,41.57,UNSTABLE_FLAGGED
HIV_p17_Var_18_YCS46592.1,HIV_p17,55.45,-0.61,42.11,UNSTABLE_FLAGGED
HIV_p17_Var_19_YCS46583.1,HIV_p17,55.52,-0.62,42.3,UNSTABLE_FLAGGED
HIV_p17_Var_20_WVT29341.1,HIV_p17,55.39,-0.63,53.16,UNSTABLE_FLAGGED
HIV_p17_Var_21_WVT29333.1,HIV_p17,55.78,-0.63,40.1,UNSTABLE_FLAGGED
HIV_p17_Var_22_YAG30059.1,HIV_p17,54.88,-0.61,47.92,UNSTABLE_FLAGGED
HIV_p17_Var_23_XWN58111.1,HIV_p17,35.17,-0.56,37.93,STABLE
HIV_p17_Var_24_XWN58110.1,HIV_p17,,,,EXCLUDED_NONSTANDARD
HIV_p17_Var_25_XWN58107.1,HIV_p17,34.94,-0.53,36.85,STABLE
HIV_p17_Var_26_XWN58106.1,HIV_p17,35.15,-0.52,44.81,UNSTABLE_FLAGGED
HIV_p17_Var_27_XWN58098.1,HIV_p17,35.01,-0.47,43.62,UNSTABLE_FLAGGED
HIV_p17_Var_28_XWN58095.1,HIV_p17,,,,EXCLUDED_NONSTANDARD
HIV_p17_Var_29_XWN58092.1,HIV_p17,,,,EXCLUDED_NONSTANDARD
HIV_p17_Var_30_XWN58084.1,HIV_p17,35.11,-0.49,38.34,STABLE
HIV_p24_Var_01_YES72110.1,HIV_p24,161.97,-0.49,38.05,STABLE
HIV_p24_Var_02_YES72109.1,HIV_p24,55.89,-0.62,44.66,UNSTABLE_FLAGGED
HIV_p24_Var_03_YES72089.1,HIV_p24,,,,EXCLUDED_NONSTANDARD
HIV_p24_Var_04_YES72088.1,HIV_p24,,,,EXCLUDED_NONSTANDARD
HIV_p24_Var_05_XUS50358.1,HIV_p24,,,,EXCLUDED_NONSTANDARD
HIV_p24_Var_06_XUS50349.1,HIV_p24,,,,EXCLUDED_NONSTANDARD
HIV_p24_Var_07_XUS50340.1,HIV_p24,,,,EXCLUDED_NONSTANDARD
HIV_p24_Var_08_YAA49986.1,HIV_p24,55.33,-0.62,44.72,UNSTABLE_FLAGGED
HIV_p24_Var_09_YAA49977.1,HIV_p24,54.98,-0.61,43.02,UNSTABLE_FLAGGED
HIV_p24_Var_10_YAA49968.1,HIV_p24,55.27,-0.61,42.73,UNSTABLE_FLAGGED
HIV_p24_Var_11_YAA49964.1,HIV_p24,55.16,-0.62,42.92,UNSTABLE_FLAGGED
HIV_p24_Var_12_XZS46794.1,HIV_p24,,,,EXCLUDED_NONSTANDARD
HIV_p24_Var_13_XZS46054.1,HIV_p24,55.46,-0.62,42.59,UNSTABLE_FLAGGED
HIV_p24_Var_14_XZS45499.1,HIV_p24,,,,EXCLUDED_NONSTANDARD
HIV_p24_Var_15_YDB18351.1,HIV_p24,55.81,-0.66,47.31,UNSTABLE_FLAGGED
HIV_p24_Var_16_YCS46609.1,HIV_p24,56.21,-0.65,41.71,UNSTABLE_FLAGGED
HIV_p24_Var_17_YCS46601.1,HIV_p24,55.41,-0.63,41.57,UNSTABLE_FLAGGED
HIV_p24_Var_18_YCS46592.1,HIV_p24,55.45,-0.61,42.11,UNSTABLE_FLAGGED
HIV_p24_Var_19_YCS46583.1,HIV_p24,55.52,-0.62,42.3,UNSTABLE_FLAGGED
HIV_p24_Var_20_WVT29341.1,HIV_p24,55.39,-0.63,53.16,UNSTABLE_FLAGGED
HIV_p24_Var_21_WVT29333.1,HIV_p24,55.78,-0.63,40.1,UNSTABLE_FLAGGED
HIV_p24_Var_22_YAG30059.1,HIV_p24,54.88,-0.61,47.92,UNSTABLE_FLAGGED
HIV_p24_Var_23_XWN58111.1,HIV_p24,35.17,-0.56,37.93,STABLE
HIV_p24_Var_24_XWN58110.1,HIV_p24,,,,EXCLUDED_NONSTANDARD
HIV_p24_Var_25_XWN58107.1,HIV_p24,34.94,-0.53,36.85,STABLE
HIV_p24_Var_26_XWN58106.1,HIV_p24,35.15,-0.52,44.81,UNSTABLE_FLAGGED
HIV_p24_Var_27_XWN58098.1,HIV_p24,35.01,-0.47,43.62,UNSTABLE_FLAGGED
HIV_p24_Var_28_XWN58095.1,HIV_p24,,,,EXCLUDED_NONSTANDARD
HIV_p24_Var_29_XWN58092.1,HIV_p24,,,,EXCLUDED_NONSTANDARD
HIV_p24_Var_30_XWN58084.1,HIV_p24,35.11,-0.49,38.34,STABLE
Mpox_A35R_Var_01_USS79496.1,Mpox_A35R,20.05,-0.3,42.34,UNSTABLE_FLAGGED
Mpox_A35R_Var_02_QJQ40286.1,Mpox_A35R,20.05,-0.3,42.34,UNSTABLE_FLAGGED
Mpox_A35R_Var_03_AGR38704.1,Mpox_A35R,20.02,-0.32,41.03,UNSTABLE_FLAGGED
Mpox_A35R_Var_04_AGR38513.1,Mpox_A35R,20.02,-0.32,41.03,UNSTABLE_FLAGGED
Mpox_A35R_Var_05_AGR38322.1,Mpox_A35R,20.02,-0.32,41.03,UNSTABLE_FLAGGED
Mpox_A35R_Var_06_AGR38131.1,Mpox_A35R,20.02,-0.32,41.03,UNSTABLE_FLAGGED
Mpox_A35R_Var_07_AGR37941.1,Mpox_A35R,20.02,-0.32,41.03,UNSTABLE_FLAGGED
Mpox_A35R_Var_08_AGR37751.1,Mpox_A35R,20.02,-0.32,41.03,UNSTABLE_FLAGGED
Mpox_A35R_Var_09_AGR37561.1,Mpox_A35R,20.02,-0.32,41.03,UNSTABLE_FLAGGED
Mpox_A35R_Var_10_AGR37370.1,Mpox_A35R,20.02,-0.32,41.03,UNSTABLE_FLAGGED
Mpox_A35R_Var_11_AGR37179.1,Mpox_A35R,20.02,-0.32,41.03,UNSTABLE_FLAGGED
Mpox_A35R_Var_12_AGR36988.1,Mpox_A35R,20.02,-0.32,41.03,UNSTABLE_FLAGGED
Mpox_A35R_Var_13_AGR36797.1,Mpox_A35R,20.02,-0.32,41.03,UNSTABLE_FLAGGED
Mpox_A35R_Var_14_AGR36606.1,Mpox_A35R,20.02,-0.32,41.03,UNSTABLE_FLAGGED
Mpox_A35R_Var_15_AGR36415.1,Mpox_A35R,20.02,-0.32,41.03,UNSTABLE_FLAGGED
Mpox_A35R_Var_16_AGR36224.1,Mpox_A35R,20.02,-0.32,41.03,UNSTABLE_FLAGGED
Mpox_A35R_Var_17_AGR36033.1,Mpox_A35R,20.02,-0.32,41.03,UNSTABLE_FLAGGED
Mpox_A35R_Var_18_AGR35842.1,Mpox_A35R,20.02,-0.32,41.03,UNSTABLE_FLAGGED
Mpox_A35R_Var_19_AGR35651.1,Mpox_A35R,20.02,-0.32,41.03,UNSTABLE_FLAGGED
Mpox_A35R_Var_20_AGR35460.1,Mpox_A35R,20.02,-0.32,41.03,UNSTABLE_FLAGGED
Mpox_A35R_Var_21_AGR35269.1,Mpox_A35R,20.02,-0.32,41.03,UNSTABLE_FLAGGED
Mpox_A35R_Var_22_AGR35078.1,Mpox_A35R,20.02,-0.32,41.03,UNSTABLE_FLAGGED
Mpox_A35R_Var_23_AGR34887.1,Mpox_A35R,20.02,-0.32,41.03,UNSTABLE_FLAGGED
Mpox_A35R_Var_24_AGR34696.1,Mpox_A35R,20.02,-0.32,41.03,UNSTABLE_FLAGGED
Mpox_A35R_Var_25_AGR34506.1,Mpox_A35R,20.02,-0.32,41.03,UNSTABLE_FLAGGED
Mpox_A35R_Var_26_AAL40603.1,Mpox_A35R,20.04,-0.36,42.09,UNSTABLE_FLAGGED
Mpox_A35R_Var_27_AAN78222.1,Mpox_A35R,20.02,-0.32,41.03,UNSTABLE_FLAGGED
Mpox_B5R_Var_01_QJQ40305.1,Mpox_B5R,65.73,-0.11,38.65,STABLE
Mpox_B5R_Var_02_AGR38725.1,Mpox_B5R,65.79,-0.12,37.9,STABLE
Mpox_B5R_Var_03_AGR38534.1,Mpox_B5R,65.79,-0.12,37.9,STABLE
Mpox_B5R_Var_04_AGR38343.1,Mpox_B5R,65.79,-0.12,37.9,STABLE
Mpox_B5R_Var_05_AGR38152.1,Mpox_B5R,65.79,-0.12,37.9,STABLE
Mpox_B5R_Var_06_AGR37962.1,Mpox_B5R,65.79,-0.12,37.9,STABLE
Mpox_B5R_Var_07_AGR37772.1,Mpox_B5R,65.79,-0.12,37.9,STABLE
Mpox_B5R_Var_08_AGR37582.1,Mpox_B5R,65.79,-0.12,37.9,STABLE
Mpox_B5R_Var_09_AGR37391.1,Mpox_B5R,65.79,-0.12,37.9,STABLE
Mpox_B5R_Var_10_AGR37200.1,Mpox_B5R,65.79,-0.12,37.9,STABLE
Mpox_B5R_Var_11_AGR37009.1,Mpox_B5R,65.79,-0.12,37.9,STABLE
Mpox_B5R_Var_12_AGR36818.1,Mpox_B5R,65.79,-0.12,37.9,STABLE
Mpox_B5R_Var_13_AGR36627.1,Mpox_B5R,65.79,-0.12,37.9,STABLE
Mpox_B5R_Var_14_AGR36436.1,Mpox_B5R,65.79,-0.12,37.9,STABLE
Mpox_B5R_Var_15_AGR36245.1,Mpox_B5R,65.79,-0.12,37.9,STABLE
Mpox_B5R_Var_16_AGR36054.1,Mpox_B5R,65.79,-0.12,37.9,STABLE
Mpox_B5R_Var_17_AGR35863.1,Mpox_B5R,65.79,-0.12,37.9,STABLE
Mpox_B5R_Var_18_AGR35672.1,Mpox_B5R,65.79,-0.12,37.9,STABLE
Mpox_B5R_Var_19_AGR35481.1,Mpox_B5R,65.82,-0.12,37.9,STABLE
Mpox_B5R_Var_20_AGR35290.1,Mpox_B5R,65.82,-0.12,37.9,STABLE
Mpox_B5R_Var_21_AGR35099.1,Mpox_B5R,65.79,-0.12,37.9,STABLE
Mpox_B5R_Var_22_AGR34908.1,Mpox_B5R,65.82,-0.12,37.9,STABLE
Mpox_B5R_Var_23_AGR34717.1,Mpox_B5R,65.79,-0.12,37.9,STABLE
Mpox_B5R_Var_24_AGR34527.1,Mpox_B5R,65.79,-0.12,37.9,STABLE
Mpox_B5R_Var_25_AAL40624.1,Mpox_B5R,65.79,-0.12,37.9,STABLE
Mpox_L1R_Var_01_XYR87238.1,Mpox_L1R,27.3,-0.0,33.47,STABLE
Mpox_L1R_Var_02_XYR87197.1,Mpox_L1R,23.89,0.21,50.6,UNSTABLE_FLAGGED
Mpox_L1R_Var_03_XYR87060.1,Mpox_L1R,27.3,-0.0,33.47,STABLE
Mpox_L1R_Var_04_XYR87019.1,Mpox_L1R,23.89,0.21,50.6,UNSTABLE_FLAGGED
Mpox_L1R_Var_05_XYR86883.1,Mpox_L1R,,,,EXCLUDED_NONSTANDARD
Mpox_L1R_Var_06_XYR86842.1,Mpox_L1R,23.89,0.21,50.6,UNSTABLE_FLAGGED
Mpox_L1R_Var_07_XYR86706.1,Mpox_L1R,27.3,-0.0,33.47,STABLE
Mpox_L1R_Var_08_XYR86665.1,Mpox_L1R,23.89,0.21,50.6,UNSTABLE_FLAGGED
Mpox_L1R_Var_09_XYH50751.1,Mpox_L1R,27.28,-0.01,34.7,STABLE
Mpox_L1R_Var_10_XYH50710.1,Mpox_L1R,23.82,0.23,46.64,UNSTABLE_FLAGGED
Mpox_L1R_Var_11_XYH50576.1,Mpox_L1R,27.28,-0.01,34.7,STABLE
Mpox_L1R_Var_12_XYH50535.1,Mpox_L1R,23.82,0.23,46.64,UNSTABLE_FLAGGED
Mpox_L1R_Var_13_XYH80326.1,Mpox_L1R,27.3,-0.0,33.47,STABLE
Mpox_L1R_Var_14_XYH80285.1,Mpox_L1R,23.82,0.23,46.64,UNSTABLE_FLAGGED
Mpox_L1R_Var_15_XVJ44734.1,Mpox_L1R,27.3,-0.0,33.47,STABLE
Mpox_L1R_Var_16_XVJ44693.1,Mpox_L1R,23.81,0.23,45.82,UNSTABLE_FLAGGED
Mpox_L1R_Var_17_XVJ44556.1,Mpox_L1R,27.3,-0.0,33.47,STABLE
Mpox_L1R_Var_18_XVJ44515.1,Mpox_L1R,23.81,0.23,45.82,UNSTABLE_FLAGGED
Mpox_L1R_Var_19_XVJ44378.1,Mpox_L1R,27.3,-0.0,33.47,STABLE
Mpox_L1R_Var_20_XVJ44337.1,Mpox_L1R,23.81,0.23,45.82,UNSTABLE_FLAGGED
Mpox_L1R_Var_21_XVJ44200.1,Mpox_L1R,27.3,-0.0,33.47,STABLE
Mpox_L1R_Var_22_XVJ44159.1,Mpox_L1R,23.81,0.23,45.82,UNSTABLE_FLAGGED
Mpox_L1R_Var_23_XVJ44022.1,Mpox_L1R,27.3,-0.0,33.47,STABLE
Mpox_L1R_Var_24_XVJ43981.1,Mpox_L1R,23.81,0.23,45.82,UNSTABLE_FLAGGED
Mpox_L1R_Var_25_XVJ43844.1,Mpox_L1R,27.3,-0.0,33.47,STABLE
Mpox_L1R_Var_26_XVJ43803.1,Mpox_L1R,23.81,0.23,45.82,UNSTABLE_FLAGGED
Mpox_L1R_Var_27_XVJ43666.1,Mpox_L1R,27.3,-0.0,33.47,STABLE
Mpox_L1R_Var_28_XVJ43625.1,Mpox_L1R,23.81,0.23,45.82,UNSTABLE_FLAGGED
Mpox_L1R_Var_29_XVJ43488.1,Mpox_L1R,27.3,-0.0,33.47,STABLE
Mpox_L1R_Var_30_XVJ43447.1,Mpox_L1R,23.81,0.23,45.82,UNSTABLE_FLAGGED
